text|label
Chrzciciel nie zdoła dobiec, lecz staje w pół drogi,|mickiewicz
Ujrzą Teukrzy i cienie wstające na łanie.|wergiliusz
Nie wiedząc, że Kniaziewicz ciągnie ku odsieczy,|mickiewicz
Na wyścigi Rutule broń biorą dokoła:|wergiliusz
Z pyska ziejąc, wlókł cielsko swe wielkie bez miary.|wergiliusz
Środkiem dziedzińca, aż tam, gdzie rosła pokrzywa,|mickiewicz
Miasta pragną, żeglugi trud obrzydł im do cna. —|wergiliusz
I gdyby mnie Dobrodziej Sędzia nie przeszkodził,|mickiewicz
Po moim chyba trupie pójdzie do ołtarza!>>|mickiewicz
Wziąwszy do chwały swojej nadobną Wojszczankę,|mickiewicz
Smokowi żer, gałęzie drzew świętych ochrania,|wergiliusz
w. 439|mickiewicz
A dalej okrąg jakby powieka szeroka|mickiewicz
I Eurial posłuchania proszą, aby sprawy|wergiliusz
Proszą, ażeby zagrał, podają cymbały,|mickiewicz
Mój trud dzieląc, przez morza wszystkie idąc ze mną,|wergiliusz
Co pierwej, jako płaczki przy grobowym dole,|mickiewicz
Gerwazy stanął, jeszcze raz spojrzał na wrogów,|mickiewicz
Wśród gaju i w milczeniu poruszane wiosła,|wergiliusz
Wymyślili i która młockarnią się zowie,|mickiewicz
Że liczne nas narody, że nas (nie gardź nami,|wergiliusz
Wpływu takiego starzec bynajmniej nie szukał,|mickiewicz
Oczy rozwarł szeroko, usta wpół otworzył;|mickiewicz
Wtem z głębi gaju z nagła głos huczeć zaczyna:|wergiliusz
Bita wokół przez dziko szczekające fale,|wergiliusz
Ksiądz Bernardyn uciekł się do swej tabakiery,|mickiewicz
Siekąc wrogów, a Praga już się wkoło pali.|mickiewicz
Dobiega. — Wtedy młodzian srodze się rozżali,|wergiliusz
Wszyscy śpieszą, ku różnym kierują się stronom;|mickiewicz
Nie pożałujesz twego poselstwa, Robaku,|mickiewicz
Dobrzyńskiego! Rachmistrzów kogo miał? Dobrzyńskich!|mickiewicz
Scenę tę Klon Eurytyd wykował ze złota.|wergiliusz
Spuszcza się na wierzch boru i już pomrok mglisty,|mickiewicz
Szlachta w zgiełku nie może ciąć krzyżową sztuką,|mickiewicz
Wyjawił mu, lekarstwa swe najrozmaitsze,|wergiliusz
I szable weźmie, kiedy bić się z kim nie będzie;|mickiewicz
Saturna pieczą! Cóż was przynagla spokojny|wergiliusz
Przerwała Telimena, miał gust Soplicowski.|mickiewicz
Widać, że okolica obfita we zboże,|mickiewicz
Wśród mowy strach młodzieńca przejmie tajemniczy,|wergiliusz
I którym droższy niż laur Kapitolu,|mickiewicz
600 Chcecie może plan widzieć? mam plan miasta w biurku.|mickiewicz
Pierzchną Trojanie, przestrach ogarnie ich nowy,|wergiliusz
Roztopiła się lodu cukrowego piana|mickiewicz
I dziecko, co się lula, i zucha, co hula!|mickiewicz
Raz Eneja ze sobą w środek bierze miasta,|wergiliusz
Mars tarczą grzmi i ufny w potęgę swych ramion|wergiliusz
Rozkazem wzruszon bogów takim i przestrogą.|wergiliusz
Natenczas syn Anchiza stu posłów stanowi|wergiliusz
Sam mówiłeś, że jeszcze za wcześnie, - zbyt młodzi,-|mickiewicz
Tyle wdzięków w tajemnej nimfie upatrywał,|mickiewicz
w. 248:|mickiewicz
Grożąc białymi zęby, a wąsy najeżał;|mickiewicz
"Księże Robaku, mówił, Księże Bernardynie,
Obaczymy się w Litwie, może nim rok minie;
Powiedz Litwinom, niech mię czekają z tabaką
Częstochowską, nie biorę innej, tylko taką>>."|mickiewicz
Dla młodziana i myślisz, że zgodzę się — na tom|wergiliusz
Widziano, po konopiach ciemnych jego biała|mickiewicz
400 Dziewczyna, uprzejmością Hrabiego ujęta,|mickiewicz
    Oni, rowy przebywszy, kryci nocą ciemną,|wergiliusz
290 Podwoje dolne zamknąć i ryglem zawalić.|mickiewicz
    W przybytku bogów siedząc tak strojnym dokoła,|wergiliusz
Bywa często pod wozem; kto dzisiaj na przedzie,|mickiewicz
Wtem Asesor nadbiegał krzycząc: <<Areszt kładę|mickiewicz
Jakiż zgon los wam niesie zrządzeniem ponurem?|wergiliusz
